Sid|Category|Course Number|Serie Name|Professor Name|Date|Url|Corpus|Description
25|Computer Science|PLUl4u3cNGP63gFHB6xb-kVBiQHYe_4hSi|MIT 6.034 Artificial Intelligence, Fall 2010|Patrick Winston  In these lectures, Prof. Patrick Winston introduces the 6.034 material from a conceptual, big-picture perspective. Topics include reasoning, search, constraints, learning, representations, architectures, and probabilistic inference.  License: Creative Commons BY-NC-SA More information at http://ocw.mit.edu/terms More courses at http://ocw.mit.edu|2013-12-31T17:42:08Z|https://www.youtube.com/playlist?list=PLUl4u3cNGP63gFHB6xb-kVBiQHYe_4hSi|MIT OpenCourseWare|View the complete course: http://ocw.mit.edu/6-034F10 Instructor: Patrick Winston  In these lectures, Prof. Patrick Winston introduces the 6.034 material from a conceptual, big-picture perspective. Topics include reasoning, search, constraints, learning, representations, architectures, and probabilistic inference.  License: Creative Commons BY-NC-SA More information at http://ocw.mit.edu/terms More courses at http://ocw.mit.edu
26|Computer Science|PLE638294EA3288272|MIT 6.189 Multicore Programming Primer, January (IAP) 2007||2009-03-04T11:49:41Z|https://www.youtube.com/playlist?list=PLE638294EA3288272|MIT OpenCourseWare|The course serves as an introductory course in parallel programming. It offers a series of lectures on parallel programming concepts as well as a group project providing hands-on experience with parallel programming. The students will have the unique opportunity to use the cutting-edge PLAYSTATION 3 development platform as they learn how to design and implement exciting applications for multicore architectures. At the end of the course, students will have an understanding of:      * Fundamental design philosophies that multicore architectures address.     * Parallel programming philosophies and emerging best practices.  This course is offered during the Independent Activities Period (IAP), which is a special 4-week term at MIT that runs from the first week of January until the end of the month. The course can be tailored to a normal semester time line.
27|Computer Science|PLUl4u3cNGP60B0PQXVQyGNdCyCTDU1Q5j|MIT 6.S897 Machine Learning for Healthcare, Spring 2019|David Sontag, Peter Szolovits View the complete course: https://ocw.mit.edu/6-S897S19  Introduces students to machine learning in healthcare, the nature of clinical data, and the use of machine learning for risk stratification, disease progression modeling, precision medicine, diagnosis, subtype discovery, and improving clinical workflows.  License: Creative Commons BY-NC-SA More information at https://ocw.mit.edu/terms More courses at https://ocw.mit.edu|2020-03-02T19:15:22Z|https://www.youtube.com/playlist?list=PLUl4u3cNGP60B0PQXVQyGNdCyCTDU1Q5j|MIT OpenCourseWare|Instructors: David Sontag, Peter Szolovits View the complete course: https://ocw.mit.edu/6-S897S19  Introduces students to machine learning in healthcare, the nature of clinical data, and the use of machine learning for risk stratification, disease progression modeling, precision medicine, diagnosis, subtype discovery, and improving clinical workflows.  License: Creative Commons BY-NC-SA More information at https://ocw.mit.edu/terms More courses at https://ocw.mit.edu
28|Computer Science|PLUl4u3cNGP63pfpS1gV5P9tDxxL_e4W8O|MIT 6.801 Machine Vision, Fall 2020|Berthold Horn View the complete course: https://ocw.mit.edu/6-801F20 YouTube Playlist: https://www.youtube.com/playlist?list=PLUl4u3cNGP63pfpS1gV5P9tDxxL_e4W8O  This course is an introduction to the process of generating a symbolic description of the environment from an image. It covers the physics of image formation, image analysis, binary image processing, and filtering. Machine vision has applications in robotics and the intelligent interaction of machines with their environment. Students taking the graduate version complete additional assignments.  License: Creative Commons BY-NC-SA More information at https://ocw.mit.edu/terms More courses at https://ocw.mit.edu Support OCW at http://ow.ly/a1If50zVRlQ  We encourage constructive comments and discussion on OCW’s YouTube and other social media channels. Personal attacks, hate speech, trolling, and inappropriate comments are not allowed and may be removed. More details at https://ocw.mit.edu/comments.|2022-02-10T21:53:47Z|https://www.youtube.com/playlist?list=PLUl4u3cNGP63pfpS1gV5P9tDxxL_e4W8O|MIT OpenCourseWare|Instructor: Berthold Horn View the complete course: https://ocw.mit.edu/6-801F20 YouTube Playlist: https://www.youtube.com/playlist?list=PLUl4u3cNGP63pfpS1gV5P9tDxxL_e4W8O  This course is an introduction to the process of generating a symbolic description of the environment from an image. It covers the physics of image formation, image analysis, binary image processing, and filtering. Machine vision has applications in robotics and the intelligent interaction of machines with their environment. Students taking the graduate version complete additional assignments.  License: Creative Commons BY-NC-SA More information at https://ocw.mit.edu/terms More courses at https://ocw.mit.edu Support OCW at http://ow.ly/a1If50zVRlQ  We encourage constructive comments and discussion on OCW’s YouTube and other social media channels. Personal attacks, hate speech, trolling, and inappropriate comments are not allowed and may be removed. More details at https://ocw.mit.edu/comments.
29|Humanities & Social Sciences|PLUl4u3cNGP61kvh3caDts2R6LmkYbmzaG|MIT 14.771 Development Economics, Fall 2021|Esther Duflo  View the complete course: https://ocw.mit.edu/courses/14-771-development-economics-fall-2021 YouTube Playlist: https://www.youtube.com/playlist?list=PLUl4u3cNGP61kvh3caDts2R6LmkYbmzaG  This course provides rigorous introduction to core microeconomic issues in economic development, focusing on both key theoretical contributions and empirical applications to understand both why some countries are poor and on how markets function differently in poor economies. Topics include human capital (education and health); labor markets; credit markets; land markets; firms; and the role of the public sector.  License: Creative Commons BY-NC-SA More information at https://ocw.mit.edu/terms More courses at https://ocw.mit.edu Support OCW at http://ow.ly/a1If50zVRlQ  We encourage constructive comments and discussion on OCW’s YouTube and other social media channels. Personal attacks, hate speech, trolling, and inappropriate comments are not allowed and may be removed. More details at https://ocw.mit.edu/comments.|2022-11-28T19:39:02Z|https://www.youtube.com/playlist?list=PLUl4u3cNGP61kvh3caDts2R6LmkYbmzaG|MIT OpenCourseWare|MIT 14.771 Development Economics, Fall 2021 Instructor: Esther Duflo  View the complete course: https://ocw.mit.edu/courses/14-771-development-economics-fall-2021 YouTube Playlist: https://www.youtube.com/playlist?list=PLUl4u3cNGP61kvh3caDts2R6LmkYbmzaG  This course provides rigorous introduction to core microeconomic issues in economic development, focusing on both key theoretical contributions and empirical applications to understand both why some countries are poor and on how markets function differently in poor economies. Topics include human capital (education and health); labor markets; credit markets; land markets; firms; and the role of the public sector.  License: Creative Commons BY-NC-SA More information at https://ocw.mit.edu/terms More courses at https://ocw.mit.edu Support OCW at http://ow.ly/a1If50zVRlQ  We encourage constructive comments and discussion on OCW’s YouTube and other social media channels. Personal attacks, hate speech, trolling, and inappropriate comments are not allowed and may be removed. More details at https://ocw.mit.edu/comments.
30|Humanities & Social Sciences|PLUl4u3cNGP63wnrKge9vllow3Y2OOOKqF|MIT 14.04 Intermediate Microeconomic Theory, Fall 2020|Prof. Robert Townsend View the complete course: https://ocw.mit.edu/courses/14-04-intermediate-microeconomic-theory-fall-2020/ YouTube Playlist: https://www.youtube.com/playlist?list...  This course provides an introduction to theory and data designed to meet the needs of students interested in economic science. It provides an introduction to consumer choice, the theory of the firm and general equilibrium models, with an overview of the main results and tools used in these subjects, both directly and indirectly as used in a variety of fields.  License: Creative Commons BY-NC-SA More information at https://ocw.mit.edu/terms More courses at https://ocw.mit.edu Support OCW at http://ow.ly/a1If50zVRlQ  We encourage constructive comments and discussion on OCW’s YouTube and other social media channels. Personal attacks, hate speech, trolling, and inappropriate comments are not allowed and may be removed. More details at https://ocw.mit.edu/comments.|2022-08-03T16:00:21Z|https://www.youtube.com/playlist?list=PLUl4u3cNGP63wnrKge9vllow3Y2OOOKqF|MIT OpenCourseWare|Instructor: Prof. Robert Townsend View the complete course: https://ocw.mit.edu/courses/14-04-intermediate-microeconomic-theory-fall-2020/ YouTube Playlist: https://www.youtube.com/playlist?list...  This course provides an introduction to theory and data designed to meet the needs of students interested in economic science. It provides an introduction to consumer choice, the theory of the firm and general equilibrium models, with an overview of the main results and tools used in these subjects, both directly and indirectly as used in a variety of fields.  License: Creative Commons BY-NC-SA More information at https://ocw.mit.edu/terms More courses at https://ocw.mit.edu Support OCW at http://ow.ly/a1If50zVRlQ  We encourage constructive comments and discussion on OCW’s YouTube and other social media channels. Personal attacks, hate speech, trolling, and inappropriate comments are not allowed and may be removed. More details at https://ocw.mit.edu/comments.
31|Humanities & Social Sciences|PLUl4u3cNGP62ydNAexE7BtehzDRyFBUEe|MIT 11.382 Water Diplomacy, Spring 2021|Dr. Animesh Gain, Prof. Lawrence Susskind, and MIT students View the complete course: https://ocw.mit.edu/11-382S21 YouTube Playlist: https://www.youtube.com/playlist?list=PLUl4u3cNGP62ydNAexE7BtehzDRyFBUEe  This is a selection of videos from lectures and student presentations delivered over Zoom in 11.382 Water Diplomacy.  License: Creative Commons BY-NC-SA More information at https://ocw.mit.edu/terms More courses at https://ocw.mit.edu Support OCW at http://ow.ly/a1If50zVRlQ  We encourage constructive comments and discussion on OCW’s YouTube and other social media channels. Personal attacks, hate speech, trolling, and inappropriate comments are not allowed and may be removed. More details at https://ocw.mit.edu/comments.|2022-01-03T23:24:15Z|https://www.youtube.com/playlist?list=PLUl4u3cNGP62ydNAexE7BtehzDRyFBUEe|MIT OpenCourseWare|MIT 11.382 Water Diplomacy, Spring 2021 Instructor: Dr. Animesh Gain, Prof. Lawrence Susskind, and MIT students View the complete course: https://ocw.mit.edu/11-382S21 YouTube Playlist: https://www.youtube.com/playlist?list=PLUl4u3cNGP62ydNAexE7BtehzDRyFBUEe  This is a selection of videos from lectures and student presentations delivered over Zoom in 11.382 Water Diplomacy.  License: Creative Commons BY-NC-SA More information at https://ocw.mit.edu/terms More courses at https://ocw.mit.edu Support OCW at http://ow.ly/a1If50zVRlQ  We encourage constructive comments and discussion on OCW’s YouTube and other social media channels. Personal attacks, hate speech, trolling, and inappropriate comments are not allowed and may be removed. More details at https://ocw.mit.edu/comments.
32|Humanities & Social Sciences|PLUl4u3cNGP62ihmDWYj4LMPMdHBHiPa_7|MIT 24.912 Introduction to Black Studies, Spring 2017|Noam Chomsky, Michel Anne-Frederic DeGraff  In these videos, the instructor describes various aspects of how he teaches the course, Professor Emeritus Noam Chomksy shares his perspective as a guest speaker during the last class session, and a group of students describe key learning experiences in the course.  License: Creative Commons BY-NC-SA More information at https://ocw.mit.edu/terms More courses at https://ocw.mit.edu|2018-02-16T21:07:28Z|https://www.youtube.com/playlist?list=PLUl4u3cNGP62ihmDWYj4LMPMdHBHiPa_7|MIT OpenCourseWare|View the complete course: https://ocw.mit.edu/24-912S17 Instructor: Noam Chomsky, Michel Anne-Frederic DeGraff  In these videos, the instructor describes various aspects of how he teaches the course, Professor Emeritus Noam Chomksy shares his perspective as a guest speaker during the last class session, and a group of students describe key learning experiences in the course.  License: Creative Commons BY-NC-SA More information at https://ocw.mit.edu/terms More courses at https://ocw.mit.edu
33|Humanities & Social Sciences|PLUl4u3cNGP620R91K4KP_fO4l3eeK5lDn|MIT 14.73 The Challenge of World Poverty, Spring 2011|Prof. Esther Duflo and Prof. Abhijit Banerjee View the complete course: http://ocw.mit.edu/14-73S11  Video lectures of the course 14.73 recorded in Spring 2011.  License: Creative Commons BY-NC-SA More information at http://ocw.mit.edu/terms More courses at http://ocw.mit.edu|2013-01-10T22:05:53Z|https://www.youtube.com/playlist?list=PLUl4u3cNGP620R91K4KP_fO4l3eeK5lDn|MIT OpenCourseWare|Instructors: Prof. Esther Duflo and Prof. Abhijit Banerjee View the complete course: http://ocw.mit.edu/14-73S11  Video lectures of the course 14.73 recorded in Spring 2011.  License: Creative Commons BY-NC-SA More information at http://ocw.mit.edu/terms More courses at http://ocw.mit.edu
34|Humanities & Social Sciences|PLF9FBF71EC6C744EB|MIT 21M.380 Music and Technology, Fall 2009|Prof. Christopher Ariza  This course is an investigation into the history and aesthetics of music and technology as deployed in experimental and popular musics from the 19th century to the present. Through original research, creative hands-on projects, readings, and lectures, the following topics will be explored. The history of radio, audio recording, and the recording studio, as well as the development of musique concrète and early electronic instruments. The creation and extension of musical interfaces by composers such as Harry Partch, John Cage, Conlon Nancarrow, and others. The exploration of electromagnetic technologies in pickups, and the development of dub, hip-hop, and turntablism. The history and application of the analog synthesizer, from the Moog modular to the Roland TR-808. The history of computer music, including music synthesis and representation languages. Contemporary practices in circuit bending, live electronics, and electro-acoustic music, as well as issues in copyright and intellectual property, will also be examined. No prerequisites.  See the complete course at: http://ocw.mit.edu/21m-380f09  License: Creative Commons BY-NC-SA More information at http://ocw.mit.edu/terms More courses at http://ocw.mit.edu|2010-06-17T14:34:39Z|https://www.youtube.com/playlist?list=PLF9FBF71EC6C744EB|MIT OpenCourseWare|Instructor: Prof. Christopher Ariza  This course is an investigation into the history and aesthetics of music and technology as deployed in experimental and popular musics from the 19th century to the present. Through original research, creative hands-on projects, readings, and lectures, the following topics will be explored. The history of radio, audio recording, and the recording studio, as well as the development of musique concrète and early electronic instruments. The creation and extension of musical interfaces by composers such as Harry Partch, John Cage, Conlon Nancarrow, and others. The exploration of electromagnetic technologies in pickups, and the development of dub, hip-hop, and turntablism. The history and application of the analog synthesizer, from the Moog modular to the Roland TR-808. The history of computer music, including music synthesis and representation languages. Contemporary practices in circuit bending, live electronics, and electro-acoustic music, as well as issues in copyright and intellectual property, will also be examined. No prerequisites.  See the complete course at: http://ocw.mit.edu/21m-380f09  License: Creative Commons BY-NC-SA More information at http://ocw.mit.edu/terms More courses at http://ocw.mit.edu
35|Humanities & Social Sciences|PLUl4u3cNGP63fCab3HxkgpDsJ9nqgAs7k|MIT RES.21G-001 The User-Friendly Classroom, Spring 2016|A. C. Kemp.  A collection of five videos meant to train college teaching assistants.  License: Creative Commons BY-NC-SA More information at http://ocw.mit.edu/terms More courses at http://ocw.mit.edu|2016-10-24T19:50:57Z|https://www.youtube.com/playlist?list=PLUl4u3cNGP63fCab3HxkgpDsJ9nqgAs7k|MIT OpenCourseWare|View the complete course: http://ocw.mit.edu/RES-21G-001S16 Instructor: A. C. Kemp.  A collection of five videos meant to train college teaching assistants.  License: Creative Commons BY-NC-SA More information at http://ocw.mit.edu/terms More courses at http://ocw.mit.edu
36|Humanities & Social Sciences|PLUl4u3cNGP63-t0r0aC3noJiIOmj33S_Q|MIT 14.772 Development Economics: Macroeconomics, Spring 2013|Robert Townsend  Prof. Robert Townsend taught the first half of the course, 14.772 Development Economics: Macroeconomics from Spring 2013.  License: Creative Commons BY-NC-SA More information at http://ocw.mit.edu/terms More courses at http://ocw.mit.edu|2013-12-30T17:02:41Z|https://www.youtube.com/playlist?list=PLUl4u3cNGP63-t0r0aC3noJiIOmj33S_Q|MIT OpenCourseWare|View the complete course: http://ocw.mit.edu/14-772S13 Instructor: Robert Townsend  Prof. Robert Townsend taught the first half of the course, 14.772 Development Economics: Macroeconomics from Spring 2013.  License: Creative Commons BY-NC-SA More information at http://ocw.mit.edu/terms More courses at http://ocw.mit.edu
37|Humanities & Social Sciences|PLUl4u3cNGP63BZGNOqrF2qf_yxOjuG35j|MIT 24.900 Introduction to Linguistics, Spring 2022|Prof. Norvin A. Richards View the complete course: https://ocw.mit.edu/courses/24-900-introduction-to-linguistics-spring-2022/  [Note: Due to technical problems with the recording, no video is available for lectures 1 and 7.]  This class provides some answers to basic questions about the nature of human language. Throughout the course, we examine a number of ways in which human language is a complex but law-governed mental system. Much of the class is devoted to studying some core aspects of this system in detail; we also spend individual classes discussing a number of other issues, including how language is acquired, how languages change over time, language endangerment, and others.  License: Creative Commons BY-NC-SA More information at https://ocw.mit.edu/terms More courses at https://ocw.mit.edu Support OCW at http://ow.ly/a1If50zVRlQ  We encourage constructive comments and discussion on OCW’s YouTube and other social media channels. Personal attacks, hate speech, trolling, and inappropriate comments are not allowed and may be removed. More details at https://ocw.mit.edu/comments.|2022-11-28T19:48:18Z|https://www.youtube.com/playlist?list=PLUl4u3cNGP63BZGNOqrF2qf_yxOjuG35j|MIT OpenCourseWare|Instructor: Prof. Norvin A. Richards View the complete course: https://ocw.mit.edu/courses/24-900-introduction-to-linguistics-spring-2022/  [Note: Due to technical problems with the recording, no video is available for lectures 1 and 7.]  This class provides some answers to basic questions about the nature of human language. Throughout the course, we examine a number of ways in which human language is a complex but law-governed mental system. Much of the class is devoted to studying some core aspects of this system in detail; we also spend individual classes discussing a number of other issues, including how language is acquired, how languages change over time, language endangerment, and others.  License: Creative Commons BY-NC-SA More information at https://ocw.mit.edu/terms More courses at https://ocw.mit.edu Support OCW at http://ow.ly/a1If50zVRlQ  We encourage constructive comments and discussion on OCW’s YouTube and other social media channels. Personal attacks, hate speech, trolling, and inappropriate comments are not allowed and may be removed. More details at https://ocw.mit.edu/comments.
38|Humanities & Social Sciences|PLUl4u3cNGP63Z979ri_UXXk_1zrvrF77Q|MIT 14.13 Psychology and Economics, Spring 2020|Prof. Frank Schilbach View the complete course: https://ocw.mit.edu/14-13S20 YouTube Playlist: https://www.youtube.com/playlist?list=PLUl4u3cNGP63Z979ri_UXXk_1zrvrF77Q  This collection of lecture videos for the course Psychology and Education a sub-field of economics that incorporates insights from psychology and other social sciences into economics.  License: Creative Commons BY-NC-SA More information at https://ocw.mit.edu/terms More courses at https://ocw.mit.edu Support OCW at http://ow.ly/a1If50zVRlQ  We encourage constructive comments and discussion on OCW’s YouTube and other social media channels. Personal attacks, hate speech, trolling, and inappropriate comments are not allowed and may be removed. More details at https://ocw.mit.edu/comments.|2021-05-24T19:59:46Z|https://www.youtube.com/playlist?list=PLUl4u3cNGP63Z979ri_UXXk_1zrvrF77Q|MIT OpenCourseWare|Instructor: Prof. Frank Schilbach View the complete course: https://ocw.mit.edu/14-13S20 YouTube Playlist: https://www.youtube.com/playlist?list=PLUl4u3cNGP63Z979ri_UXXk_1zrvrF77Q  This collection of lecture videos for the course Psychology and Education a sub-field of economics that incorporates insights from psychology and other social sciences into economics.  License: Creative Commons BY-NC-SA More information at https://ocw.mit.edu/terms More courses at https://ocw.mit.edu Support OCW at http://ow.ly/a1If50zVRlQ  We encourage constructive comments and discussion on OCW’s YouTube and other social media channels. Personal attacks, hate speech, trolling, and inappropriate comments are not allowed and may be removed. More details at https://ocw.mit.edu/comments.
39|Humanities & Social Sciences|PLUl4u3cNGP61EXhUSGCUWD5mEwdRWaTrq|MIT 21A.550J/STS.064J DV Lab: Documenting Science Through Video and New Media, Spring 2011|Chris Boebel, Christine Walley View the complete course: http://ocw.mit.edu/21A.550JS11  This video collection includes three lectures that explore the science documentary, plus lab/demonstration classes about video cameras, audio, lighting, and interviewing techniques.  License: Creative Commons BY-NC-SA More information at http://ocw.mit.edu/terms More courses at http://ocw.mit.edu|2013-12-13T02:49:55Z|https://www.youtube.com/playlist?list=PLUl4u3cNGP61EXhUSGCUWD5mEwdRWaTrq|MIT OpenCourseWare|Instructor: Chris Boebel, Christine Walley View the complete course: http://ocw.mit.edu/21A.550JS11  This video collection includes three lectures that explore the science documentary, plus lab/demonstration classes about video cameras, audio, lighting, and interviewing techniques.  License: Creative Commons BY-NC-SA More information at http://ocw.mit.edu/terms More courses at http://ocw.mit.edu
40|Humanities & Social Sciences|PLUl4u3cNGP61Iarlv9eLlXmTMybRZR1-1|MIT RES.15-003 Shaping the Future of Work, Spring 2016|Tom Kochan  This course examines what has to happen in order for employers, workers, governments, and regulators to come together to forge new policies, rules, and understandings for governing the world of work in the twenty-first century century.  License: Creative Commons BY-NC-SA More information at https://ocw.mit.edu/terms More courses at https://ocw.mit.edu|2017-02-27T20:17:04Z|https://www.youtube.com/playlist?list=PLUl4u3cNGP61Iarlv9eLlXmTMybRZR1-1|MIT OpenCourseWare|View the complete course: https://ocw.mit.edu/RES-15-003S16 Instructor: Tom Kochan  This course examines what has to happen in order for employers, workers, governments, and regulators to come together to forge new policies, rules, and understandings for governing the world of work in the twenty-first century century.  License: Creative Commons BY-NC-SA More information at https://ocw.mit.edu/terms More courses at https://ocw.mit.edu
41|Humanities & Social Sciences|PLUl4u3cNGP63wurgwdJKo6UEYBWDLnmCj|MIT 21L.011 The Film Experience, Fall 2013|David Thorburn  This complete set of lecture videos provides a close analysis and criticism of a wide range of films, from the early silent period, classic Hollywood genres including musicals, thrillers and westerns, and European and Japanese art cinema.  License: Creative Commons BY-NC-SA More information at http://ocw.mit.edu/terms More courses at http://ocw.mit.edu|2016-02-09T16:20:05Z|https://www.youtube.com/playlist?list=PLUl4u3cNGP63wurgwdJKo6UEYBWDLnmCj|MIT OpenCourseWare|View the complete course: http://ocw.mit.edu/21L-011F13 Instructor: David Thorburn  This complete set of lecture videos provides a close analysis and criticism of a wide range of films, from the early silent period, classic Hollywood genres including musicals, thrillers and westerns, and European and Japanese art cinema.  License: Creative Commons BY-NC-SA More information at http://ocw.mit.edu/terms More courses at http://ocw.mit.edu
